full_name,age,birthday,league,season,position,club_name,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer
Marouane Fellaini,32,564566400,Premier League,2018/2019,Midfielder,Manchester United,744,217,527,Belgium,14,1,5,0,0,0,1,0,1,0,0,2,1,1,13,2,11,1,0,0.12,0.12,0,0,0,0,1.57,57,53,744,744,0.12,341,123,-1,22
Anthony Martial,24,818150400,Premier League,2018/2019,Forward,Manchester United,1623,743,880,France,27,8,10,10,4,6,2,1,1,1,0,5,1,4,25,8,17,2,0,0.67,0.11,0.55,0.48,0.61,162,1.39,65,60,812,812,0.11,12,136,-1,4
Chris Smalling,30,627724800,Premier League,2018/2019,Defender,Manchester United,2128,1138,990,England,24,13,11,1,0,1,0,0,0,0,0,4,2,2,34,16,18,1,0,0.04,0,0.04,0,0.09,2128,1.44,63,89,2128,0,0.04,240,282,109,15
Lee Grant,37,412502400,Premier League,2018/2019,Goalkeeper,Manchester United,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Ashley Young,34,489740400,Premier League,2018/2019,Midfielder,Manchester United,2568,1207,1361,England,30,13,15,2,1,1,2,2,0,0,0,4,2,2,41,16,25,10,1,0.14,0.07,0.07,0.07,0.07,1284,1.44,63,86,257,1284,0.35,191,187,-1,9
Kasper Schmeichel,33,531561600,Premier League,2018/2019,Goalkeeper,Leicester City,3420,1710,1710,Denmark,38,19,19,0,0,0,0,0,0,0,0,10,6,4,43,18,25,3,0,0,0,0,0,0,0,1.13,80,90,1140,0,0.08,342,286,50,25
Wes Morgan,36,443520000,Premier League,2018/2019,Defender,Leicester City,1926,783,1143,Jamaica,22,9,12,3,1,2,0,0,0,0,0,6,3,3,24,9,15,5,2,0.14,0,0.14,0.11,0.16,642,1.12,80,88,385,0,0.23,127,268,48,6
Harry Maguire,27,731318400,Premier League,2018/2019,Defender,Leicester City,2599,1350,1249,England,31,15,16,3,0,3,0,0,0,0,0,7,3,4,36,16,20,7,1,0.1,0,0.1,0,0.22,866,1.25,72,84,325,0,0.28,167,266,78,5
Ricardo Domingos Barbosa Pereira,26,749890800,Premier League,2018/2019,Defender,Leicester City,3125,1526,1599,Portugal,35,17,18,2,2,0,6,3,3,0,0,10,6,4,40,16,24,7,0,0.23,0.17,0.06,0.12,0,1563,1.15,78,89,446,521,0.2,206,84,53,7
Ben Chilwell,23,851155200,Premier League,2018/2019,Defender,Leicester City,3240,1620,1620,England,36,18,18,0,0,0,4,1,3,0,0,10,6,4,39,15,24,4,0,0.11,0.11,0,0,0,0,1.08,83,90,810,810,0.11,343,138,44,24
Adrien Sebastian Perruchet Silva,31,605952000,Premier League,2018/2019,Midfielder,Leicester City,88,8,80,Portugal,2,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1.02,88,44,0,0,0,-1,-1,-1,16
Daniel Amartey,25,787996800,Premier League,2018/2019,Midfielder,Leicester City,640,307,333,Ghana,9,3,4,0,0,0,0,0,0,0,0,2,1,1,9,4,5,2,0,0,0,0,0,0,0,1.27,71,71,320,0,0.28,344,278,-1,15
Onyinye Wilfred Ndidi,23,850723200,Premier League,2018/2019,Midfielder,Leicester City,3299,1624,1675,Nigeria,38,19,18,2,2,0,0,0,0,0,0,10,6,4,42,18,24,8,0,0.05,0,0.05,0.11,0,1650,1.15,79,87,412,0,0.22,218,322,-1,9
Demarai Gray,23,835945200,Premier League,2018/2019,Midfielder,Leicester City,1992,1069,923,England,34,11,12,4,1,3,1,1,0,0,0,8,5,3,26,10,16,2,0,0.23,0.05,0.18,0.08,0.29,498,1.17,77,59,996,1992,0.09,102,203,-1,3
James Maddison,23,848736000,Premier League,2018/2019,Midfielder,Leicester City,2850,1535,1315,England,36,18,17,7,3,4,7,4,3,1,1,8,5,3,39,18,21,5,1,0.44,0.22,0.22,0.18,0.27,407,1.23,73,79,570,407,0.16,89,56,-1,2
Kelechi Iheanacho,23,844326000,Premier League,2018/2019,Forward,Leicester City,926,408,518,Nigeria,30,4,5,1,1,0,3,2,1,0,0,6,4,2,11,5,6,2,0,0.39,0.29,0.1,0.22,0,926,1.07,84,31,463,309,0.19,156,28,-1,13
Jamie Vardy,33,537350400,Premier League,2018/2019,Forward,Leicester City,2735,1418,1317,England,34,16,14,18,8,10,4,3,1,4,1,10,6,4,33,13,20,4,1,0.72,0.13,0.59,0.51,0.68,152,1.09,83,80,547,684,0.16,9,114,-1,1
Rachid Ghezzal,27,705394800,Premier League,2018/2019,Forward,Leicester City,738,455,283,Algeria,19,5,3,1,1,0,0,0,0,0,0,3,2,1,12,6,6,3,0,0.12,0,0.12,0.2,0,738,1.46,62,39,246,0,0.37,139,304,-1,12
Vicente Iborra De La Fuente,32,569318400,Premier League,2018/2019,Midfielder,Leicester City,226,152,74,Spain,8,2,1,0,0,0,0,0,0,0,0,3,1,2,4,2,2,0,0,0,0,0,0,0,0,1.59,57,28,0,0,0,-1,-1,-1,14
Jonny Evans,32,568195200,Premier League,2018/2019,Defender,Leicester City,1995,1074,921,Northern Ireland,24,12,9,1,1,0,0,0,0,0,0,8,6,2,22,9,13,2,0,0.05,0,0.05,0.08,0,1995,0.99,91,83,998,0,0.09,226,311,32,11
Marc Albrighton,30,627379200,Premier League,2018/2019,Midfielder,Leicester City,1626,797,829,England,27,10,8,2,1,1,2,1,1,0,0,9,5,4,17,8,9,3,0,0.22,0.11,0.11,0.11,0.11,813,0.94,96,60,542,813,0.17,150,135,-1,8
Danny Ward,26,740732400,Premier League,2018/2019,Goalkeeper,Leicester City,0,0,0,Wales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Christian Fuchs,34,513244800,Premier League,2018/2019,Defender,Leicester City,206,90,116,Austria,3,1,1,0,0,0,0,0,0,0,0,0,0,0,4,3,1,0,0,0,0,0,0,0,0,1.75,52,69,0,0,0,-1,-1,-1,17
Martin Dúbravka,31,600854400,Premier League,2018/2019,Goalkeeper,Newcastle United,3420,1710,1710,Slovakia,38,19,19,0,0,0,0,0,0,0,0,11,5,6,44,23,21,1,0,0,0,0,0,0,0,1.16,78,90,3420,0,0.03,345,306,58,18
Ciaran Clark,30,622796400,Premier League,2018/2019,Defender,Newcastle United,857,416,441,Republic of Ireland,11,4,5,3,1,2,0,0,0,0,0,2,0,2,14,9,5,1,0,0.32,0,0.32,0.22,0.41,286,1.47,61,78,857,0,0.11,58,301,112,4
Jamal Lascelles,26,753004800,Premier League,2018/2019,Defender,Newcastle United,2748,1308,1440,England,32,16,16,0,0,0,1,1,0,0,0,11,5,6,33,16,17,4,0,0.03,0.03,0,0,0,0,1.08,83,86,687,2748,0.13,346,237,45,23
Paul Dummett,28,685868400,Premier League,2018/2019,Defender,Newcastle United,1986,979,1007,Wales,26,10,11,0,0,0,0,0,0,0,0,9,3,6,27,15,12,1,0,0,0,0,0,0,0,1.22,74,76,1986,0,0.05,347,290,70,22
DeAndre Yedlin,26,742201200,Premier League,2018/2019,Defender,Newcastle United,2475,1313,1162,USA,29,15,13,1,0,1,2,1,1,0,0,6,4,2,37,19,18,7,1,0.11,0.07,0.04,0,0.08,2475,1.35,67,85,309,1238,0.29,236,179,92,13
Jonjo Shelvey,28,699177600,Premier League,2018/2019,Midfielder,Newcastle United,944,403,541,England,16,4,6,1,0,1,1,0,1,0,0,5,1,4,11,8,3,1,0,0.19,0.1,0.1,0,0.17,944,1.05,86,59,944,944,0.1,160,144,-1,12
Mohamed Diamé,32,550652400,Premier League,2018/2019,Midfielder,Newcastle United,2165,960,1205,Senegal,29,11,13,0,0,0,0,0,0,0,0,9,3,6,28,13,15,3,0,0,0,0,0,0,0,1.16,77,75,722,0,0.12,348,296,-1,21
Matt Ritchie,30,621414000,Premier League,2018/2019,Midfielder,Newcastle United,2940,1557,1383,Scotland,36,19,16,2,1,1,8,2,6,1,1,11,5,6,37,21,16,9,0,0.31,0.24,0.06,0.06,0.07,1470,1.13,79,82,327,368,0.28,210,44,-1,6
Robert Kenedy Nunes do Nascimento,24,823766400,Premier League,2018/2019,Midfielder,Newcastle United,1344,611,733,Brazil,25,6,8,1,0,1,1,1,0,0,1,8,3,5,17,9,8,1,0,0.13,0.07,0.07,0,0.12,1344,1.14,79,54,1344,1344,0.07,198,178,-1,9
José Luis Sanmartín Mato,30,638524800,Premier League,2018/2019,Forward,Newcastle United,586,308,278,Spain,16,3,2,2,2,0,0,0,0,0,0,4,2,2,12,8,4,1,0,0.31,0,0.31,0.58,0,293,1.84,49,37,586,0,0.15,60,294,-1,5
Ayoze Perez,26,743929200,Premier League,2018/2019,Forward,Newcastle United,2929,1526,1403,Spain,37,17,17,12,9,3,2,1,1,0,0,11,5,6,34,21,13,2,0,0.43,0.06,0.37,0.53,0.19,244,1.04,86,79,1465,1465,0.06,45,196,-1,1
Rondon,30,621932400,Premier League,2018/2019,Forward,Newcastle United,2609,1343,1266,Venezuela,32,15,15,11,6,5,7,5,2,0,0,10,5,5,29,14,15,1,0,0.62,0.24,0.38,0.4,0.36,237,1,90,82,2609,373,0.03,38,45,-1,2
Christian Atsu Twasam,28,695030400,Premier League,2018/2019,Midfielder,Newcastle United,1487,710,777,Ghana,28,7,8,1,1,0,0,0,0,0,0,8,3,5,16,10,6,2,0,0.06,0,0.06,0.13,0,1487,0.97,93,53,744,0,0.12,211,321,-1,7
Yoshinori Muto,27,711183600,Premier League,2018/2019,Forward,Newcastle United,516,180,336,Japan,17,2,3,1,0,1,0,0,0,0,0,5,1,4,10,3,7,1,0,0.17,0,0.17,0,0.27,516,1.74,52,30,516,0,0.17,112,314,-1,8
Sung-Yeung Ki,31,601632000,Premier League,2018/2019,Midfielder,Newcastle United,1302,824,478,South Korea,18,9,5,0,0,0,1,1,0,0,0,5,2,3,18,12,6,2,0,0.07,0.07,0,0,0,0,1.24,72,72,651,1302,0.14,349,177,-1,20
Fabian Schär,28,693216000,Premier League,2018/2019,Defender,Newcastle United,2002,1173,829,Switzerland,24,13,9,4,3,1,1,0,1,0,0,8,5,3,21,14,7,12,0,0.22,0.04,0.18,0.23,0.11,501,0.94,95,83,167,2002,0.54,108,226,23,3
Javier Manquillo Gaitán,25,768121200,Premier League,2018/2019,Defender,Newcastle United,1097,503,594,Spain,18,5,7,0,0,0,3,2,1,0,0,6,3,3,12,6,6,2,0,0.25,0.25,0,0,0,0,0.98,91,61,549,366,0.16,350,40,30,19
Karl Darlow,29,655369200,Premier League,2018/2019,Goalkeeper,Newcastle United,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Hugo Lloris,33,535968000,Premier League,2018/2019,Goalkeeper,Tottenham Hotspur,2970,1620,1350,France,33,18,15,0,0,0,0,0,0,0,0,12,7,5,30,13,17,0,0,0,0,0,0,0,0,0.91,99,90,0,0,0,339,309,21,19
Jan Vertonghen,33,546246000,Premier League,2018/2019,Defender,Tottenham Hotspur,1915,884,1031,Belgium,22,10,12,1,0,1,0,0,0,0,0,7,4,3,21,7,14,5,1,0.05,0,0.05,0,0.09,1915,0.99,91,87,383,0,0.23,223,289,31,10
Serge Aurier,27,725184000,Premier League,2018/2019,Defender,Tottenham Hotspur,564,136,428,Côte d'Ivoire,8,2,4,0,0,0,2,0,2,0,0,3,0,3,9,2,7,1,0,0.32,0.32,0,0,0,0,1.44,63,71,564,282,0.16,351,15,106,27
Ben Davies,27,735634800,Premier League,2018/2019,Defender,Tottenham Hotspur,1839,916,923,Wales,27,10,10,0,0,0,0,0,0,0,0,10,6,4,24,10,14,2,0,0,0,0,0,0,0,1.17,77,68,920,0,0.1,353,287,59,26
Davinson Sánchez Mina,23,834562800,Premier League,2018/2019,Defender,Tottenham Hotspur,1943,873,1070,Colombia,23,10,12,1,1,0,1,0,1,0,0,6,3,3,21,9,12,2,0,0.09,0.05,0.05,0.1,0,1943,0.97,93,84,972,1943,0.09,220,200,28,13
Moussa Sissoko,30,619254000,Premier League,2018/2019,Midfielder,Tottenham Hotspur,2336,1187,1149,France,29,14,13,0,0,0,3,2,1,0,0,11,6,5,26,10,16,2,0,0.12,0.12,0,0,0,0,1,90,81,1168,779,0.08,354,130,-1,25
Christian Eriksen,28,698054400,Premier League,2018/2019,Midfielder,Tottenham Hotspur,2772,1457,1315,Denmark,35,16,14,8,6,2,12,8,4,0,0,10,6,4,34,14,20,3,0,0.65,0.39,0.26,0.37,0.14,347,1.1,82,79,924,231,0.1,74,9,-1,4
Lucas Rodrigues Moura da Silva,27,713689200,Premier League,2018/2019,Midfielder,Tottenham Hotspur,2127,1040,1087,Brazil,32,12,13,10,6,4,0,0,0,0,0,12,7,5,16,9,7,3,0,0.42,0,0.42,0.52,0.33,213,0.68,133,66,709,0,0.13,30,262,-1,3
Dele Alli,24,829206000,Premier League,2018/2019,Midfielder,Tottenham Hotspur,1827,755,1072,England,25,9,13,5,1,4,3,2,1,0,0,7,3,4,17,4,13,4,0,0.39,0.15,0.25,0.12,0.34,365,0.84,107,73,457,609,0.2,80,96,-1,5
Eric Dier,26,758620800,Premier League,2018/2019,Midfielder,Tottenham Hotspur,1510,674,836,England,20,8,10,3,2,1,0,0,0,0,0,6,2,4,16,8,8,4,0,0.18,0,0.18,0.27,0.11,503,0.95,94,76,378,0,0.24,107,259,-1,7
Harry Kane,26,743842800,Premier League,2018/2019,Forward,Tottenham Hotspur,2427,1066,1361,England,28,12,15,17,6,11,4,2,2,4,0,10,4,6,28,10,18,5,0,0.78,0.15,0.63,0.51,0.73,143,1.04,87,87,485,607,0.19,5,95,-1,1
Moussa Dembele,32,553417200,Premier League,2018/2019,Midfielder,Tottenham Hotspur,516,161,355,Belgium,10,2,5,0,0,0,0,0,0,0,0,3,0,3,5,3,2,1,0,0,0,0,0,0,0,0.87,103,52,516,0,0.17,355,260,-1,24
Heung-Min Son,27,710578800,Premier League,2018/2019,Forward,Tottenham Hotspur,2048,1161,887,South Korea,31,13,10,12,8,4,6,2,4,0,0,11,7,4,20,8,12,3,1,0.79,0.26,0.53,0.62,0.41,171,0.88,102,66,512,341,0.18,14,37,-1,2
Luke Amos,23,856684800,Premier League,2018/2019,Midfielder,Tottenham Hotspur,2,0,2,England,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,-1,-1,-1,23
Toby Alderweireld,31,604828800,Premier League,2018/2019,Defender,Tottenham Hotspur,2924,1549,1375,Belgium,34,17,16,0,0,0,0,0,0,0,0,12,6,6,28,15,13,3,0,0,0,0,0,0,0,0.86,104,86,975,0,0.09,356,258,20,20
Michel Vorm,36,435481200,Premier League,2018/2019,Goalkeeper,Tottenham Hotspur,180,90,90,Netherlands,2,1,1,0,0,0,0,0,0,0,0,0,0,0,4,2,2,0,0,0,0,0,0,0,0,2,45,90,0,0,0,-1,-1,-1,22
Kyle Walker-Peters,23,860914800,Premier League,2018/2019,Defender,Tottenham Hotspur,374,272,102,England,6,3,1,0,0,0,3,3,0,0,0,3,2,1,4,2,2,1,0,0.72,0.72,0,0,0,0,0.96,94,62,374,125,0.24,357,1,25,21
Fernando Llorente Torres,35,478252800,Premier League,2018/2019,Forward,Tottenham Hotspur,683,508,175,Spain,20,5,1,1,1,0,4,4,0,0,0,7,5,2,8,5,3,2,0,0.66,0.53,0.13,0.18,0,683,1.05,85,34,342,171,0.26,131,2,-1,8
Asmir Begović,32,551170800,Premier League,2018/2019,Goalkeeper,AFC Bournemouth,2160,1080,1080,Bosnia and Herzegovina,24,12,12,0,0,0,0,0,0,0,0,5,3,2,44,19,25,0,0,0,0,0,0,0,0,1.83,49,90,0,0,0,358,257,153,19
Charlie Daniels,33,526460400,Premier League,2018/2019,Defender,AFC Bournemouth,1583,803,780,England,21,9,8,1,1,0,0,0,0,0,0,6,4,2,32,14,18,4,0,0.06,0,0.06,0.11,0,1583,1.82,49,75,396,0,0.23,213,255,152,12
Adam Smith,29,672908400,Premier League,2018/2019,Defender,AFC Bournemouth,2073,1051,1022,England,25,12,13,1,1,0,1,0,1,0,0,9,5,4,30,10,20,6,1,0.09,0.04,0.04,0.09,0,2073,1.3,69,83,296,2073,0.3,230,225,86,10
Steve Cook,29,672044400,Premier League,2018/2019,Defender,AFC Bournemouth,2787,1350,1437,England,31,15,16,1,0,1,1,0,1,0,0,9,6,3,53,17,36,3,0,0.06,0.03,0.03,0,0.06,2787,1.71,53,90,929,2787,0.1,254,243,145,9
Nathan Aké,25,793094400,Premier League,2018/2019,Defender,AFC Bournemouth,3412,1710,1702,Netherlands,38,19,19,4,3,1,0,0,0,0,0,10,6,4,66,23,43,3,0,0.11,0,0.11,0.16,0.05,853,1.74,52,90,1137,0,0.08,149,285,148,5
Andrew Surman,33,524905200,Premier League,2018/2019,Midfielder,AFC Bournemouth,1438,526,912,England,18,6,10,0,0,0,0,0,0,0,0,5,3,2,35,7,28,2,0,0,0,0,0,0,0,2.19,41,80,719,0,0.13,359,283,-1,27
Dan Gosling,30,633859200,Premier League,2018/2019,Midfielder,AFC Bournemouth,1737,911,826,England,25,10,9,2,0,2,1,0,1,0,0,7,4,3,31,14,17,8,0,0.16,0.05,0.1,0,0.22,869,1.61,56,69,217,1737,0.41,168,214,-1,8
Ryan Fraser,26,762076800,Premier League,2018/2019,Midfielder,AFC Bournemouth,3173,1605,1568,Scotland,38,18,17,7,5,2,13,5,8,0,0,10,6,4,61,23,38,2,0,0.57,0.37,0.2,0.28,0.11,453,1.73,52,84,1587,244,0.06,95,10,-1,3
David Brooks,22,868345200,Premier League,2018/2019,Forward,AFC Bournemouth,2278,1289,989,England,30,17,12,7,4,3,5,3,2,0,0,9,5,4,39,17,22,3,0,0.47,0.2,0.28,0.28,0.27,325,1.54,58,76,759,456,0.12,68,63,-1,4
Callum Wilson,28,699177600,Premier League,2018/2019,Forward,AFC Bournemouth,2535,1324,1211,England,30,15,14,14,5,9,9,4,5,1,1,9,5,4,44,17,27,3,0,0.82,0.32,0.5,0.34,0.67,181,1.56,58,85,845,282,0.11,17,14,-1,1
Joshua King,28,695462400,Premier League,2018/2019,Forward,AFC Bournemouth,2974,1563,1411,Norway,35,18,16,12,9,3,3,3,0,5,1,9,6,3,54,20,34,3,0,0.45,0.09,0.36,0.52,0.19,248,1.63,55,85,991,991,0.09,47,165,-1,2
Simon Francis,35,477388800,Premier League,2018/2019,Defender,AFC Bournemouth,1226,675,551,England,17,7,6,0,0,0,2,1,1,0,0,5,3,2,23,11,12,1,0,0.15,0.15,0,0,0,0,1.69,53,72,1226,613,0.07,360,99,138,26
Lys Mousset,24,823766400,Premier League,2018/2019,Forward,AFC Bournemouth,345,96,249,France,24,0,1,1,0,1,0,0,0,0,0,5,4,1,13,4,9,1,0,0.26,0,0.26,0,0.36,345,3.39,27,14,345,0,0.26,73,277,-1,11
Jermain Defoe,37,402822000,Premier League,2018/2019,Forward,AFC Bournemouth,21,0,21,England,4,0,0,0,0,0,0,0,0,0,0,2,1,1,2,0,2,0,0,0,0,0,0,0,0,8.57,11,5,0,0,0,-1,-1,-1,25
Artur Boruc,40,319881600,Premier League,2018/2019,Goalkeeper,AFC Bournemouth,1080,540,540,Poland,12,6,6,0,0,0,0,0,0,0,0,4,2,2,17,4,13,2,0,0,0,0,0,0,0,1.42,64,90,540,0,0.17,361,276,100,20
Jordon Ibe,24,818409600,Premier League,2018/2019,Midfielder,AFC Bournemouth,795,334,461,England,19,3,6,1,0,1,1,1,0,0,0,4,4,0,21,3,18,1,0,0.23,0.11,0.11,0,0.2,795,2.38,38,42,795,795,0.11,154,143,-1,13
Lewis Cook,23,854956800,Premier League,2018/2019,Midfielder,AFC Bournemouth,721,381,340,England,13,4,4,0,0,0,0,0,0,0,0,3,1,2,10,5,5,2,0,0,0,0,0,0,0,1.25,72,55,361,0,0.25,362,274,-1,24
Tyrone Mings,27,732009600,Premier League,2018/2019,Defender,AFC Bournemouth,141,7,134,England,5,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,2.55,35,28,0,0,0,-1,-1,-1,23
Neil Leonard Dula Etheridge,30,634377600,Premier League,2018/2019,Goalkeeper,Cardiff City,3420,1710,1710,Philippines,38,19,19,0,0,0,0,0,0,0,0,10,5,5,61,34,27,2,0,0,0,0,0,0,0,1.61,56,90,1710,0,0.05,363,273,134,17
Lee Peltier,33,534672000,Premier League,2018/2019,Defender,Cardiff City,1542,521,1021,England,20,6,11,0,0,0,0,0,0,0,0,6,2,4,21,9,12,4,0,0,0,0,0,0,0,1.23,73,77,386,0,0.23,352,329,72,21
Bruno Écuélé Manga,31,585039600,Premier League,2018/2019,Defender,Cardiff City,3375,1710,1665,Gabon,38,19,18,0,0,0,1,1,0,0,0,10,5,5,59,34,25,0,0,0.03,0.03,0,0,0,0,1.57,57,89,0,3375,0,337,247,126,24
Souleymane Bamba,35,474451200,Premier League,2018/2019,Defender,Cardiff City,2475,1260,1215,Côte d'Ivoire,28,14,14,4,2,2,1,1,0,0,0,7,4,3,46,23,23,7,0,0.18,0.04,0.15,0.14,0.15,619,1.67,54,88,354,2475,0.25,119,233,136,4
Sean Morrison,29,663321600,Premier League,2018/2019,Defender,Cardiff City,3040,1600,1440,England,34,18,16,1,0,1,3,2,1,0,0,9,4,5,57,34,23,6,0,0.12,0.09,0.03,0,0.06,3040,1.69,53,89,507,1013,0.18,255,166,140,8
Joe Bennett,30,638611200,Premier League,2018/2019,Defender,Cardiff City,2641,1142,1499,England,30,13,17,0,0,0,1,1,0,0,0,9,5,4,43,18,25,5,0,0.03,0.03,0,0,0,0,1.47,61,88,528,2641,0.17,324,245,111,23
Callum Paterson,25,782031600,Premier League,2018/2019,Defender,Cardiff City,1996,1024,972,Scotland,27,11,10,4,3,1,1,0,1,0,0,7,5,2,37,18,19,4,0,0.23,0.05,0.18,0.26,0.09,499,1.67,54,74,499,1996,0.18,110,213,137,3
Bobby Reid,27,728640000,Premier League,2018/2019,Midfielder,Cardiff City,1422,725,697,England,27,8,8,5,4,1,2,1,1,1,0,6,2,4,27,19,8,0,0,0.44,0.13,0.32,0.5,0.13,284,1.71,53,53,0,711,0,55,119,-1,2
Joe Ralls,26,750495600,Premier League,2018/2019,Midfielder,Cardiff City,1959,847,1112,England,28,9,13,0,0,0,0,0,0,0,1,8,5,3,35,17,18,5,1,0,0,0,0,0,0,1.61,56,70,327,0,0.28,336,393,-1,22
David Junior Hoilett,29,644569200,Premier League,2018/2019,Forward,Cardiff City,2142,1008,1134,Canada,32,10,13,3,2,1,1,0,1,0,0,9,5,4,42,20,22,4,0,0.17,0.04,0.13,0.18,0.08,714,1.76,51,67,536,2142,0.17,133,218,-1,7
Nathaniel Mendez-Laing,28,703321200,Premier League,2018/2019,Midfielder,Cardiff City,984,442,542,England,20,5,6,4,0,4,1,1,0,1,0,6,3,3,15,8,7,0,0,0.46,0.09,0.37,0,0.66,246,1.37,66,49,0,984,0,42,162,-1,5
